username,player_id,mens_rating,mens_rd,womens_rating,womens_rd
cbva_lilyytucker,a032a6d3-8d87-4c66-8048-3e74b08b6468,1500,350,1653,141
cbva_meaganoleary,06dc7838-f384-4fb9-ab22-60693eb1cfe9,1500,350,1653,141
cbva_roselebow,7f2e1f10-2abe-4c3f-97b3-d7446bcf9cfe,1500,350,1370,187
cbva_jessycabeksa,85da1844-f9a7-499f-b381-67af60a66f31,1500,350,1553,135
cbva_hcarlisi,72aa7286-0731-4013-aeb0-393bc61fa4b5,1500,350,1624,69
cbva_audreyalta,29f53b81-bda9-4dfc-a0c6-3751aff87da4,1500,350,1550,69
cbva_coralieloomer,46f17bc3-18c6-4e8e-82a8-211f8a2d70fc,1500,350,1585,132
cbva_areliehershberg,c12b6bfe-222e-4b93-ae6e-4076fa713e41,1500,350,1558,174
cbva_rileymasp,0adc99b8-8e1f-4e30-a777-cf4ebbf9d6e2,1500,350,1363,218
cbva_alisonasp,4fd5708b-4bfa-4459-97b0-860ea3b283c0,1500,350,1363,218
cbva_amandayee,580241c3-0d66-44fb-b388-3b4ac4583eba,1500,350,1554,87
cbva_sarakamalei,d934dcbb-1ea7-4de0-97de-42e52e1f0116,1500,350,1581,92
cbva_reganstone,0dbefc0a-cdd2-42c9-aed4-abbfd8c9c998,1500,350,1601,91
cbva_brookiebear,164a1f69-a07a-4c8d-bc41-46b7b84749f6,1500,350,1642,90
cbva_danibolden,1ef1474b-1711-461b-af6d-be16506ecd9f,1500,350,1566,87
cbva_mgmurrali,3f225587-b3c1-4205-a53e-e2cce9f5f120,1500,350,1549,92
cbva_katedenn,fef9b76e-35fc-4b42-8b99-fa43a729d271,1500,350,1321,161
cbva_kmoreilly,d1c9fa12-456d-40fd-8c36-ba604dd48328,1500,350,1321,161
cbva_josievball,3705e926-65b8-419e-bae6-aac2bddebc0f,1500,350,1500,141
cbva_spongsua,fd46ddc7-bb17-46c3-9255-05f6f16b61a8,1500,350,1456,76
cbva_kpaulava,7ec588ea-d53e-45c3-8949-5c1ad2ffe1f6,1500,350,1441,195
cbva_charliesiragusa,484cdeb4-6454-484f-a97b-8105068bd430,1739,68,1500,350
cbva_derekbradford,80ca2cf0-6de6-48a5-8faf-f8f73996740b,1583,72,1500,350
cbva_salvapastor,3e6a5d11-56f9-43d4-9620-167002156311,1582,69,1500,350
cbva_maxximus,a21273f4-6efd-4492-8bf8-831547196748,1581,69,1500,350
cbva_chicoryr,63ea6b04-ee05-45fe-b152-f5fc41771eba,1659,68,1500,350
cbva_zac,be106a64-9e22-41cf-be9f-e284bc673662,1673,68,1500,350
cbva_keddie,ad00bc01-dc1c-4908-9408-83768488d0b9,1636,68,1500,350
cbva_manninglemon,7ada4359-8fd1-4086-8465-961f5d457d8a,1572,68,1500,350
cbva_justinjohnson,06a06295-0bc8-40b6-a9a6-15b5813a05d2,1567,85,1500,350
cbva_grantfriedman,781bcd55-b979-4b05-880e-5c7a9a1b68da,1567,69,1500,350
cbva_biz,f35e663f-4ae9-448b-b14f-19772ab70a71,1714,68,1500,350
cbva_alexukkelberg,80952fe9-7fed-4f11-b701-24e2067973c7,1705,83,1500,350
cbva_natekeola,586c44e2-5e46-4ce1-93ce-df26ba6d89bc,1510,98,1500,350
cbva_matiasmoreno,2d10b8e4-3d5c-4c32-bfe0-c5f86b251303,1513,68,1500,350
cbva_samuelsgvb,3b43c991-87b1-48fa-8814-ef2e6e63192d,1606,69,1500,350
cbva_nvantreese,7f0a1f7e-ef6a-494a-9e78-3f29c81c2e42,1497,85,1500,350
cbva_twoloson,2297637a-5344-4d34-9273-e6e4420ac6bc,1754,68,1500,350
cbva_amado,735889c9-5a71-496d-a8d5-dc022e8b02ca,1748,68,1500,350
cbva_peck,66f37f78-bc68-47db-9c51-79174007d098,1477,104,1500,350
cbva_dextersoup,1e98a916-ddc9-4ff4-97fb-eb0d3655b733,1684,68,1500,350
cbva_matthewujkic,8eb52e12-1ad3-4b60-95e6-aa011c4d2130,1547,69,1500,350
cbva_rileyowen,c14c5237-8b65-48fc-a62d-34baa5100008,1567,68,1500,350
cbva_dupdegrove,5c35ca8e-ac00-41d0-b2ff-b2d71b9ac350,1723,68,1500,350
cbva_danplaysvolleyball,c346a3c4-0ea4-42aa-99e4-d4e013ef52db,1510,68,1500,350
cbva_luckygoosefoot,9f38555a-45ce-4406-9d05-f35687ac2c16,1597,68,1500,350
cbva_mert,bb01ce7d-deae-40b0-bc9f-01811033148e,1579,68,1500,350
cbva_kaicromwell,53e8a6de-a41e-463e-9fbc-f10893083777,1467,73,1500,350
cbva_logan,8aea0c87-ee0e-46ec-8154-7388dc66d8d6,1645,108,1500,350
